Open,Close,VWAP,Volume,MACD,DPO,HULL-16,MFM,Lable
145.4,144.4,147.07,2847687,-10.27138535,-1.9675,134.5596982,-2.05713269,-1
145.5,141.85,142.59,1093875,-9.559323957,-3.5025,135.2326422,-2.029778806,-1
143.8,140.2,141.06,1149793,-9.028049718,-2.48,137.0128142,-2.067783154,-1
139,134.65,137.32,1013330,-8.891641447,-5.33,138.8339359,-2.077223306,-1
133.5,131.75,133.83,1818713,-9.121984293,-9.2775,140.0235042,-2.180139618,-1
135.8,135.35,136.01,804018,-9.015166638,-6.375,139.60269,-1.974929171,-1
136,135.85,135.84,765613,-8.812826186,-3.9525,137.8370782,-2.003006149,-1
135.95,133.2,134.18,648089,-8.557879082,-3.1525,136.1783677,-2.544766384,-1
134,133.15,135.45,1165796,-8.416104858,-1.5575,135.0380376,-2.379376755,-1
134.35,131.25,132.95,1013742,-8.181240159,-1.195,133.900354,-2.272651601,-1
135.5,128.75,131.9,728400,-7.812328598,1.9,132.8450729,-1.733062302,-1
131.3,128.9,129.83,785072,-7.769146505,6.185,131.7591397,-1.732321461,-1
129.1,128.5,130.34,681916,-7.822212534,4.605,130.5328357,-1.890756337,-1
129.2,130.75,130.35,546385,-7.766707554,3.755,129.4037766,-1.978893318,1
133,120.55,130.33,1567019,-7.331766115,-1.365,128.3782355,-2.205535325,-1
123,115.75,117.52,3469035,-7.704756713,-3.2675,127.9812045,-1.905994959,-1
122,115.3,120.64,4536084,-7.988960713,1.5975,126.2601692,-2.056716587,-1
112.5,106.45,108.76,1267692,-8.878065821,3.3325,123.099554,-1.806034548,-1
108.9,102.85,107.75,1462483,-9.760588579,2.365,119.4311733,-1.733586362,-1
103.4,97.15,99.23,1992209,-10.77938725,4.1225,114.6730374,-1.713828585,-1
99.4,91.15,94.79,1359620,-11.77375998,4.42,109.2400011,-1.644739943,-1
91.75,96.05,94.2,1396024,-13.02868108,4.5825,103.0775837,-1.616831354,1
96,91.9,92.64,834661,-13.52466453,7.0225,96.4731568,-1.811565104,-1
93.3,90.35,92.69,1024407,-13.97447695,9.0375,91.6188122,-1.815612979,-1
91.9,97.6,94.37,1340192,-14.27934009,13.5025,88.0475595,-1.711902523,1
104.95,105.45,104.5,1457390,-13.3150608,5.01,85.5575016,-2.281425665,1
108,109.05,107.17,3260289,-12.16466557,1.705,85.3279752,-3.111956005,1
109.75,108.5,108.13,2397599,-10.98519869,2.595,88.2032299,-17.73313239,-1
108.9,109.55,109.64,1447656,-10.00368797,-5.02,93.3836642,18.90219577,1
108.35,104.25,106.17,870011,-9.164542584,-7.44,99.027664,8.86669479,-1
